datetime,station,hour,day,month,year,day_of_week,is_weekend,no2,no,nox,pm10,pm2.5,no2_h-1,no_h-1,nox_h-1,pm10_h-1,pm2.5_h-1
2024-06-01 00:00:00,mc190,00,1.0,6.0,2024.0,5.0,1.0,22.0,2.0,24.0,14.0,8.0,21.0,2.0,24.0,24.0,12.0
2024-06-01 01:00:00,mc190,01,1.0,6.0,2024.0,5.0,1.0,24.0,3.0,28.0,19.0,11.0,22.0,2.0,24.0,14.0,8.0
2024-06-01 02:00:00,mc190,02,1.0,6.0,2024.0,5.0,1.0,23.0,3.0,28.0,23.0,14.0,24.0,3.0,28.0,19.0,11.0
2024-06-01 03:00:00,mc190,03,1.0,6.0,2024.0,5.0,1.0,18.0,2.0,20.0,24.0,16.0,23.0,3.0,28.0,23.0,14.0
2024-06-01 04:00:00,mc190,04,1.0,6.0,2024.0,5.0,1.0,18.0,2.0,22.0,26.0,18.0,18.0,2.0,20.0,24.0,16.0
2024-06-01 05:00:00,mc190,05,1.0,6.0,2024.0,5.0,1.0,12.0,2.0,13.0,27.0,19.0,18.0,2.0,22.0,26.0,18.0
2024-06-01 06:00:00,mc190,06,1.0,6.0,2024.0,5.0,1.0,14.0,2.0,17.0,29.0,20.0,12.0,2.0,13.0,27.0,19.0
2024-06-01 07:00:00,mc190,07,1.0,6.0,2024.0,5.0,1.0,17.0,4.0,23.0,34.0,23.0,14.0,2.0,17.0,29.0,20.0
2024-06-01 08:00:00,mc190,08,1.0,6.0,2024.0,5.0,1.0,17.0,4.0,24.0,31.0,22.0,17.0,4.0,23.0,34.0,23.0
2024-06-01 09:00:00,mc190,09,1.0,6.0,2024.0,5.0,1.0,14.0,3.0,20.0,38.0,23.0,17.0,4.0,24.0,31.0,22.0
2024-06-01 10:00:00,mc190,10,1.0,6.0,2024.0,5.0,1.0,19.0,5.0,26.0,29.0,19.0,14.0,3.0,20.0,38.0,23.0
2024-06-01 11:00:00,mc190,11,1.0,6.0,2024.0,5.0,1.0,18.0,4.0,25.0,27.0,17.0,19.0,5.0,26.0,29.0,19.0
2024-06-01 12:00:00,mc190,12,1.0,6.0,2024.0,5.0,1.0,14.0,2.0,19.0,24.0,14.0,18.0,4.0,25.0,27.0,17.0
2024-06-01 13:00:00,mc190,13,1.0,6.0,2024.0,5.0,1.0,15.0,2.0,19.0,26.0,15.0,14.0,2.0,19.0,24.0,14.0
2024-06-01 14:00:00,mc190,14,1.0,6.0,2024.0,5.0,1.0,20.0,3.0,25.0,26.0,15.0,15.0,2.0,19.0,26.0,15.0
2024-06-01 15:00:00,mc190,15,1.0,6.0,2024.0,5.0,1.0,20.0,3.0,25.0,25.0,14.0,20.0,3.0,25.0,26.0,15.0
2024-06-01 16:00:00,mc190,16,1.0,6.0,2024.0,5.0,1.0,37.0,8.0,49.0,28.0,16.0,20.0,3.0,25.0,25.0,14.0
2024-06-01 17:00:00,mc190,17,1.0,6.0,2024.0,5.0,1.0,28.0,6.0,36.0,24.0,13.0,37.0,8.0,49.0,28.0,16.0
2024-06-01 18:00:00,mc190,18,1.0,6.0,2024.0,5.0,1.0,19.0,3.0,24.0,20.0,10.0,28.0,6.0,36.0,24.0,13.0
2024-06-01 19:00:00,mc190,19,1.0,6.0,2024.0,5.0,1.0,17.0,4.0,23.0,22.0,11.0,19.0,3.0,24.0,20.0,10.0
2024-06-01 20:00:00,mc190,20,1.0,6.0,2024.0,5.0,1.0,31.0,5.0,38.0,23.0,12.0,17.0,4.0,23.0,22.0,11.0
2024-06-01 21:00:00,mc190,21,1.0,6.0,2024.0,5.0,1.0,24.0,3.0,28.0,24.0,13.0,31.0,5.0,38.0,23.0,12.0
2024-06-01 22:00:00,mc190,22,1.0,6.0,2024.0,5.0,1.0,23.0,2.0,26.0,24.0,13.0,24.0,3.0,28.0,24.0,13.0
2024-06-01 23:00:00,mc190,23,1.0,6.0,2024.0,5.0,1.0,23.0,3.0,28.0,25.0,14.0,23.0,2.0,26.0,24.0,13.0
2024-06-02 00:00:00,mc190,00,2.0,6.0,2024.0,6.0,1.0,20.0,2.0,23.0,24.0,14.0,23.0,3.0,28.0,25.0,14.0
2024-06-02 01:00:00,mc190,01,2.0,6.0,2024.0,6.0,1.0,17.0,2.0,19.0,24.0,15.0,20.0,2.0,23.0,24.0,14.0
2024-06-02 02:00:00,mc190,02,2.0,6.0,2024.0,6.0,1.0,11.0,2.0,12.0,23.0,16.0,17.0,2.0,19.0,24.0,15.0
2024-06-02 03:00:00,mc190,03,2.0,6.0,2024.0,6.0,1.0,11.0,2.0,11.0,26.0,18.0,11.0,2.0,12.0,23.0,16.0
